cat code,input,blk_cnt,test_cnt
NEWS,http://www.moheet.com,166,209
NEWS,http://www.al-sharq.com,166,199
NEWS,http://alaraby.tv,166,206
NEWS,http://turk.life,166,202
NEWS,http://qalyubiagate.com,166,205
NEWS,http://www.masr11.com,166,201
NEWS,http://www.watanserb.com,164,197
NEWS,http://www.dailynewsegypt.com,164,201
NEWS,http://ikshef.com,164,187
NEWS,http://arab-turkey.com,163,203
NEWS,http://www.noonpost.org,163,201
NEWS,http://raya.com/,163,197
NEWS,http://www.dailysabah.com,163,200
NEWS,http://elsharq.web.tv,162,206
NEWS,http://nabdapp.com/,162,198
NEWS,http://www.elshaab.org,162,202
NEWS,http://www.egyrep.com,162,202
NEWS,http://www.ikhwanonline.com,161,202
NEWS,http://www.elwehda.com,161,201
NEWS,http://www.waraa-elahdath.com,161,201
NEWS,http://harmees.com,161,206
NEWS,http://www.egyptdailynews.com,161,204
NEWS,http://masralarabia.com/,161,197
NEWS,http://www.ansarportsaed.com,160,198
NEWS,http://huffpostarabi.com/,160,197
NEWS,http://albedaiah.com,160,209
NEWS,http://motamemservice.com,159,205
NEWS,http://www.arabsolaa.com,159,203
NEWS,http://www.masralarabia.com,158,203
NEWS,http://www.nabdapp.com,158,200
NEWS,http://learning.aljazeera.net,158,205
NEWS,http://www.tiranwsanafir.com,158,201
NEWS,http://www.bel-ahmar.net,158,188
NEWS,http://www.hurriyetdailynews.com,158,202
NEWS,http://elshaab.org/,158,197
NEWS,http://doc.aljazeera.net,157,208
NEWS,http://www.huffpostarabi.com,157,202
NEWS,http://studies.aljazeera.net,156,205
NEWS,http://learning.aljazeera.net/arabic,156,197
NEWS,http://al-sharq.com/,156,195
NEWS,http://institute.aljazeera.net,156,206
NEWS,http://www.ikshef.com,156,187
NEWS,http://midan.aljazeera.net,156,207
NEWS,http://blogs.aljazeera.net,156,206
NEWS,http://www.raya.com/portal,156,208
NEWS,http://sport.aljazeera.net,156,205
NEWS,http://www.aljisr-news.com,156,201
NEWS,http://www.raya.com,155,201
NEWS,http://www.asrararabiya.com,154,199
NEWS,http://balkans.aljazeera.net,154,207
NEWS,http://www.masrmix.com,152,199
NEWS,http://klmty.net,146,212
NEWS,http://madamasr.com,145,212
NEWS,https://hasamegypt.com,143,165
NEWS,https://almanassa.com,143,169
NEWS,https://www.essada.net,141,166
NEWS,https://www.egyptwindow.net,140,164
NEWS,https://www.alaraby.co.uk,140,171
NEWS,http://alaraby.co.uk/,139,160
NEWS,https://almesryoon.com,138,164
NEWS,http://www.korabia.com,138,197
NEWS,https://www.dakahliaikhwan.com,138,161
NEWS,https://al-gornal.com,134,167
NEWS,http://www.umayyapress.com,131,187
NEWS,http://www.al-watan.com,121,207
NEWS,http://thedailynewsegypt.com,105,184
NEWS,http://arabi21.com,89,185
NEWS,http://www.alarab.qa,88,206
NEWS,http://www.gulf-times.com,86,202
NEWS,http://alarab.qa/,85,197
NEWS,http://masreiat.com,84,205
NEWS,http://www.thepeninsulaqatar.com,84,176
NEWS,http://ikhwanonline.info/,83,196
NEWS,https://www.ultrasawt.com,81,152
NEWS,http://www.mekameleen.tv,80,200
NEWS,http://www.qtv.qa,79,201
